date,season,stage,match_number,Team 1,Team 2,city,venue,Team 1 Players,Team 2 Players,toss winner,decision from toss,Umpire 1,Umpire 2,tv_umpires,reserve_umpires,match_referees,winner,loser,won by (runs),won by (wickets),was result?,used D/L,player_of_match
2016-03-24,2015/16,Group B,15.0,Bangladesh,Pakistan,Delhi,Feroz Shah Kotla,"['Sanjida Islam', 'Sharmin Akhter', 'Salma Khatun', 'Fargana Hoque', 'Nigar Sultana', 'Rumana Ahmed', 'Fahima Khatun', 'Jahanara Alam', 'Lata Mondal', 'Panna Ghosh', 'Khadija Tul Kubra']","['Nahida Khan', 'Sidra Ameen', 'Bismah Maroof', 'Muneeba Ali', 'Iram Javed', 'Asmavia Iqbal', 'Sana Mir', 'Nida Dar', 'Sidra Nawaz', 'Anam Amin', 'Aliya Riaz']",Bangladesh,bat,RSA Palliyaguruge,C Shamshuddin,PR Reiffel,MA Gough,AJ Pycroft,Pakistan,Bangladesh,,9.0,,,Sidra Ameen
2016-03-26,2015/16,Group A,16.0,Australia,Ireland,Delhi,Feroz Shah Kotla,"['AJ Healy', 'EJ Villani', 'MM Lanning', 'EA Perry', 'AJ Blackwell', 'JL Jonassen', 'BL Mooney', 'ML Schutt', 'RM Farrell', 'L Cheatle', 'KM Beams']","['CMA Shillington', 'CNIM Joyce', 'KJ Garth', 'IMHC Joyce', 'L Delany', 'SM Kavanagh', 'RA Lewis', 'MV Waldron', 'AJ Kenealy', ""LK O'Reilly"", 'CJ Metcalfe']",Australia,field,CB Gaffaney,S Ravi,C Shamshuddin,RJ Tucker,JJ Crowe,Australia,Ireland,,7.0,,,ML Schutt
2016-03-26,2015/16,Group A,17.0,New Zealand,South Africa,Bangalore,M Chinnaswamy Stadium,"['SW Bates', 'RH Priest', 'SFM Devine', 'SJ McGlashan', 'KJ Martin', 'AE Satterthwaite', 'KT Perkins', 'LM Kasperek', 'EM Bermingham', 'LMM Tahuhu', 'MJG Nielsen']","['D van Niekerk', 'T Chetty', 'M du Preez', 'M Kapp', 'D Devnarain', 'L Lee', 'CL Tryon', 'S Luus', 'S Ismail', 'M Klaas', 'M Daniels']",New Zealand,field,SD Fry,REJ Martinesz,,JS Wilson,DC Boon,New Zealand,South Africa,,7.0,,,SFM Devine
2016-03-27,2015/16,Group B,18.0,India,West Indies,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali","['M Raj', 'S Mandhana', 'V Krishnamurthy', 'H Kaur', 'AA Patil', 'J Goswami', 'S Pandey', 'E Bisht', 'S Verma', 'Poonam Yadav', 'RS Gayakwad']","['HK Matthews', 'SR Taylor', 'Kyshona A Knight', 'SL Quintyne', 'DJS Dottin', 'SACA King', 'SA Campbelle', 'MR Aguilleira', 'SS Connell', 'ASS Fletcher', 'A Mohammed']",India,field,RK Illingworth,NJ Llong,HDPK Dharmasena,M Erasmus,RS Madugalle,West Indies,India,3.0,,,,DJS Dottin
2016-03-27,2015/16,Group B,19.0,England,Pakistan,Chennai,"MA Chidambaram Stadium, Chepauk","['CM Edwards', 'TT Beaumont', 'SJ Taylor', 'NR Sciver', 'DN Wyatt', 'GA Elwiss', 'LA Marsh', 'LS Greenway', 'A Shrubsole', 'KH Brunt', 'JL Gunn']","['Nahida Khan', 'Sidra Ameen', 'Bismah Maroof', 'Muneeba Ali', 'Nida Dar', 'Nain Abidi', 'Sana Mir', 'Asmavia Iqbal', 'Sidra Nawaz', 'Sadia Yousuf', 'Anam Amin']",England,bat,AK Chaudhary,K Cross,,CK Nandan,J Srinath,England,Pakistan,68.0,,,,CM Edwards
2016-03-28,2015/16,Group A,20.0,South Africa,Sri Lanka,Bangalore,M Chinnaswamy Stadium,"['D van Niekerk', 'T Chetty', 'M du Preez', 'M Kapp', 'D Devnarain', 'L Lee', 'CL Tryon', 'S Luus', 'S Ismail', 'Y Fourie', 'MM Letsoalo']","['BYA Mendis', 'AC Jayangani', 'MADD Surangika', 'MAA Sanjeewani', 'PM Weerakkody', 'LE Kaushalya', 'KADA Kanchana', 'MDN Hansika', 'KDU Prabodhani', 'I Ranaweera', 'BMSM Kumari']",Sri Lanka,bat,SD Fry,JS Wilson,VA Kulkarni,CA Polosak,DC Boon,Sri Lanka,South Africa,10.0,,,,AC Jayangani
2016-03-30,2015/16,Semi Final,,Australia,England,Delhi,Feroz Shah Kotla,"['AJ Healy', 'EJ Villani', 'MM Lanning', 'EA Perry', 'AJ Blackwell', 'JL Jonassen', 'BL Mooney', 'EA Osborne', 'ML Schutt', 'RM Farrell', 'KM Beams']","['CM Edwards', 'TT Beaumont', 'SJ Taylor', 'NR Sciver', 'HC Knight', 'DN Wyatt', 'KH Brunt', 'JL Gunn', 'LS Greenway', 'LA Marsh', 'A Shrubsole']",England,field,CB Gaffaney,S Ravi,JS Wilson,REJ Martinesz,JJ Crowe,Australia,England,5.0,,,,MM Lanning
2016-03-31,2015/16,Semi Final,,New Zealand,West Indies,Mumbai,Wankhede Stadium,"['SW Bates', 'RH Priest', 'SFM Devine', 'SJ McGlashan', 'AE Satterthwaite', 'KJ Martin', 'KT Perkins', 'LM Kasperek', 'EM Bermingham', 'LMM Tahuhu', 'MJG Nielsen']","['HK Matthews', 'SR Taylor', 'B Cooper', 'DJS Dottin', 'SACA King', 'MR Aguilleira', 'SA Campbelle', 'SL Quintyne', 'A Mohammed', 'ASS Fletcher', 'SS Connell']",New Zealand,field,RK Illingworth,NJ Llong,PR Reiffel,SD Fry,J Srinath,West Indies,New Zealand,6.0,,,,B Cooper
2016-04-03,2015/16,Final,,Australia,West Indies,Kolkata,Eden Gardens,"['AJ Healy', 'EJ Villani', 'MM Lanning', 'EA Perry', 'AJ Blackwell', 'EA Osborne', 'JL Jonassen', 'BL Mooney', 'ML Schutt', 'RM Farrell', 'KM Beams']","['HK Matthews', 'SR Taylor', 'DJS Dottin', 'B Cooper', 'SACA King', 'MR Aguilleira', 'SA Campbelle', 'SL Quintyne', 'A Mohammed', 'ASS Fletcher', 'SS Connell']",Australia,bat,Aleem Dar,RK Illingworth,NJ Llong,S Ravi,AJ Pycroft,West Indies,Australia,,8.0,,,HK Matthews
2018-11-09,2018/19,Group B,1.0,India,New Zealand,Guyana,Providence Stadium,"['T Bhatia', 'S Mandhana', 'JI Rodrigues', 'D Hemalatha', 'H Kaur', 'V Krishnamurthy', 'RP Yadav', 'M Raj', 'DB Sharma', 'A Reddy', 'Poonam Yadav']","['SW Bates', 'AM Peterson', 'SFM Devine', 'JM Watkin', 'AE Satterthwaite', 'KJ Martin', 'ML Green', 'LM Kasperek', 'HNK Jensen', 'AC Kerr', 'LMM Tahuhu']",India,bat,CA Polosak,GO Brathwaite,S George,S Redfern,RB Richardson,India,New Zealand,34.0,,,,H Kaur
2018-11-09,2018/19,Group B,2.0,Australia,Pakistan,Guyana,Providence Stadium,"['AJ Healy', 'BL Mooney', 'MM Lanning', 'A Gardner', 'EJ Villani', 'RL Haynes', 'EA Perry', 'S Molineux', 'DM Kimmince', 'G Wareham', 'ML Schutt']","['Ayesha Zafar', 'Nahida Khan', 'Umaima Sohail', 'Bismah Maroof', 'Javeria Khan', 'Nida Dar', 'Aliya Riaz', 'Sana Mir', 'Sidra Nawaz', 'Nashra Sandhu', 'Anam Amin']",Australia,bat,JM Williams,S George,WR Knights,GO Brathwaite,RB Richardson,Australia,Pakistan,52.0,,,,AJ Healy
2018-11-09,2018/19,Group A,3.0,West Indies,Bangladesh,Guyana,Providence Stadium,"['HK Matthews', 'DJS Dottin', 'SR Taylor', 'SA Campbelle', 'NY McLean', 'B Cooper', 'Kycia A Knight', 'A Mohammed', 'ASS Fletcher', 'SC Selman', 'SS Connell']","['Shamima Sultana', 'Ayasha Rahman', 'Jahanara Alam', 'Fargana Hoque', 'Nigar Sultana', 'Rumana Ahmed', 'Sanjida Islam', 'Lata Mondal', 'Fahima Khatun', 'Salma Khatun', 'Khadija Tul Kubra']",Bangladesh,field,S Redfern,L Rusere,S George,WR Knights,RB Richardson,West Indies,Bangladesh,60.0,,,,DJS Dottin
2018-11-11,2018/19,Group B,5.0,Pakistan,India,Guyana,Providence Stadium,"['Ayesha Zafar', 'Javeria Khan', 'Umaima Sohail', 'Bismah Maroof', 'Nida Dar', 'Aliya Riaz', 'Nahida Khan', 'Sana Mir', 'Sidra Nawaz', 'Anam Amin', 'Diana Baig']","['M Raj', 'S Mandhana', 'JI Rodrigues', 'H Kaur', 'V Krishnamurthy', 'T Bhatia', 'D Hemalatha', 'RP Yadav', 'DB Sharma', 'A Reddy', 'Poonam Yadav']",India,field,S Redfern,GO Brathwaite,CA Polosak,WR Knights,RB Richardson,India,Pakistan,,7.0,,,M Raj
2018-11-11,2018/19,Group B,6.0,Ireland,Australia,Guyana,Providence Stadium,"['CMA Shillington', 'CNIM Joyce', 'GH Lewis', 'EAJ Richardson', 'IMHC Joyce', 'L Delany', 'KJ Garth', 'SM Kavanagh', 'MV Waldron', ""LK O'Reilly"", 'CJ Metcalfe']","['AJ Healy', 'BL Mooney', 'EA Perry', 'MM Lanning', 'A Gardner', 'EJ Villani', 'RL Haynes', 'S Molineux', 'DM Kimmince', 'G Wareham', 'ML Schutt']",Ireland,bat,L Rusere,WR Knights,S George,GO Brathwaite,RB Richardson,Australia,Ireland,,9.0,,,AJ Healy
2018-11-12,2018/19,Group A,7.0,Bangladesh,England,St Lucia,"Daren Sammy National Cricket Stadium, Gros Islet","['Shamima Sultana', 'Ayasha Rahman', 'Fargana Hoque', 'Nigar Sultana', 'Rumana Ahmed', 'Sanjida Islam', 'Lata Mondal', 'Jahanara Alam', 'Fahima Khatun', 'Salma Khatun', 'Khadija Tul Kubra']","['DN Wyatt', 'TT Beaumont', 'AE Jones', 'NR Sciver', 'HC Knight', 'L Winfield', 'A Shrubsole', 'SIR Dunkley', 'S Ecclestone', 'LCN Smith', 'KL Gordon']",England,field,JM Williams,SJ Nogajski,Kim Cotton,Ahsan Raza,GF Labrooy,England,Bangladesh,,7.0,,True,KL Gordon
2018-11-12,2018/19,Group A,8.0,Sri Lanka,South Africa,St Lucia,"Daren Sammy National Cricket Stadium, Gros Islet","['BYA Mendis', 'AC Jayangani', 'GWHM Perera', 'HASD Siriwardene', 'OU Ranasinghe', 'NND de Silva', 'LE Kaushalya', 'MADD Surangika', 'SS Weerakkody', 'KDU Prabodhani', 'BMSM Kumari']","['L Lee', 'L Wolvaardt', 'M Kapp', 'D van Niekerk', 'M du Preez', 'S Luus', 'CL Tryon', 'S Ismail', 'M Klaas', 'TS Sekhukhune', 'M Daniels']",South Africa,field,Sharfuddoula,NN Menon,SJ Nogajski,JM Williams,GF Labrooy,South Africa,Sri Lanka,,7.0,,,S Ismail
2018-11-13,2018/19,Group B,9.0,Pakistan,Ireland,Guyana,Providence Stadium,"['Nahida Khan', 'Ayesha Zafar', 'Javeria Khan', 'Umaima Sohail', 'Nida Dar', 'Aliya Riaz', 'Bismah Maroof', 'Sana Mir', 'Sidra Nawaz', 'Aiman Anwer', 'Nashra Sandhu']","['CMA Shillington', 'GH Lewis', 'IMHC Joyce', 'EAJ Richardson', 'KJ Garth', 'L Delany', 'SM Kavanagh', 'MV Waldron', ""LK O'Reilly"", 'C Raack', 'CJ Metcalfe']",Pakistan,bat,CA Polosak,GO Brathwaite,WR Knights,L Rusere,RB Richardson,Pakistan,Ireland,38.0,,,,Javeria Khan
2018-11-13,2018/19,Group B,10.0,Australia,New Zealand,Guyana,Providence Stadium,"['BL Mooney', 'AJ Healy', 'MM Lanning', 'A Gardner', 'EJ Villani', 'RL Haynes', 'EA Perry', 'S Molineux', 'DM Kimmince', 'G Wareham', 'ML Schutt']","['SW Bates', 'AM Peterson', 'SFM Devine', 'AE Satterthwaite', 'KJ Martin', 'ML Green', 'B Bezuidenhout', 'LM Kasperek', 'HM Rowe', 'AC Kerr', 'LMM Tahuhu']",Australia,bat,L Rusere,S George,GO Brathwaite,S Redfern,RB Richardson,Australia,New Zealand,33.0,,,,AJ Healy
2018-11-14,2018/19,Group A,11.0,Sri Lanka,Bangladesh,St Lucia,"Daren Sammy National Cricket Stadium, Gros Islet","['BYA Mendis', 'GWHM Perera', 'MADD Surangika', 'AC Jayangani', 'HASD Siriwardene', 'LE Kaushalya', 'NND de Silva', 'SS Weerakkody', 'OU Ranasinghe', 'KDU Prabodhani', 'SIP Fernando']","['Sanjida Islam', 'Ayasha Rahman', 'Fargana Hoque', 'Nigar Sultana', 'Rumana Ahmed', 'Shamima Sultana', 'Jahanara Alam', 'Salma Khatun', 'Fahima Khatun', 'Ritu Moni', 'Khadija Tul Kubra']",Bangladesh,field,JM Williams,Nitin Menon,SJ Nogajski,Kim Cotton,GF Labrooy,Sri Lanka,Bangladesh,25.0,,,,HASD Siriwardene
2018-11-14,2018/19,Group A,12.0,West Indies,South Africa,St Lucia,"Daren Sammy National Cricket Stadium, Gros Islet","['HK Matthews', 'DJS Dottin', 'SR Taylor', 'SA Campbelle', 'Kycia A Knight', 'NY McLean', 'B Cooper', 'CA Henry', 'ASS Fletcher', 'SC Selman', 'SS Connell']","['L Lee', 'L Wolvaardt', 'M Kapp', 'D van Niekerk', 'S Luus', 'M du Preez', 'CL Tryon', 'S Ismail', 'M Klaas', 'M Daniels', 'TS Sekhukhune']",South Africa,field,Sharfuddoula,Ahsan Raza,Nitin Menon,SJ Nogajski,GF Labrooy,West Indies,South Africa,31.0,,,,SR Taylor
2018-11-15,2018/19,Group B,13.0,India,Ireland,Guyana,Providence Stadium,"['M Raj', 'S Mandhana', 'JI Rodrigues', 'H Kaur', 'V Krishnamurthy', 'D Hemalatha', 'DB Sharma', 'RP Yadav', 'T Bhatia', 'M Joshi', 'Poonam Yadav']","['CMA Shillington', 'GH Lewis', 'IMHC Joyce', 'L Delany', 'SM Kavanagh', 'KJ Garth', 'EAJ Richardson', 'MV Waldron', 'L Maritz', 'C Raack', ""LK O'Reilly""]",Ireland,field,L Rusere,WR Knights,S Redfern,CA Polosak,RB Richardson,India,Ireland,52.0,,,,M Raj
2018-11-15,2018/19,Group B,14.0,New Zealand,Pakistan,Guyana,Providence Stadium,"['SFM Devine', 'SW Bates', 'AE Satterthwaite', 'KJ Martin', 'LM Kasperek', 'ML Green', 'JM Watkin', 'B Bezuidenhout', 'HM Rowe', 'AC Kerr', 'LMM Tahuhu']","['Ayesha Zafar', 'Javeria Khan', 'Umaima Sohail', 'Bismah Maroof', 'Nida Dar', 'Muneeba Ali', 'Aliya Riaz', 'Sana Mir', 'Aiman Anwer', 'Sidra Nawaz', 'Nashra Sandhu']",Pakistan,field,CA Polosak,S George,GO Brathwaite,L Rusere,RB Richardson,New Zealand,Pakistan,54.0,,,,JM Watkin
2018-11-16,2018/19,Group A,15.0,South Africa,England,St Lucia,"Daren Sammy National Cricket Stadium, Gros Islet","['L Lee', 'L Wolvaardt', 'M Kapp', 'D van Niekerk', 'M du Preez', 'CL Tryon', 'F Tunnicliffe', 'S Ismail', 'Y Fourie', 'M Klaas', 'M Daniels']","['DN Wyatt', 'TT Beaumont', 'NR Sciver', 'HC Knight', 'AE Jones', 'L Winfield', 'A Shrubsole', 'SIR Dunkley', 'S Ecclestone', 'LCN Smith', 'KL Gordon']",South Africa,bat,Ahsan Raza,Kim Cotton,JM Williams,Sharfuddoula,GF Labrooy,England,South Africa,,7.0,,,NR Sciver
2018-11-16,2018/19,Group A,16.0,West Indies,Sri Lanka,St Lucia,"Daren Sammy National Cricket Stadium, Gros Islet","['HK Matthews', 'DJS Dottin', 'SR Taylor', 'NY McLean', 'Kycia A Knight', 'B Cooper', 'CA Henry', 'SA Campbelle', 'ASS Fletcher', 'SC Selman', 'SS Connell']","['GWHM Perera', 'AC Jayangani', 'WK Dilhari', 'HASD Siriwardene', 'LE Kaushalya', 'NND de Silva', 'KADA Kanchana', 'MADD Surangika', 'OU Ranasinghe', 'BMSM Kumari', 'KDU Prabodhani']",West Indies,bat,Sharfuddoula,SJ Nogajski,Ahsan Raza,Nitin Menon,GF Labrooy,West Indies,Sri Lanka,83.0,,,,HK Matthews
2018-11-17,2018/19,Group B,17.0,India,Australia,Guyana,Providence Stadium,"['T Bhatia', 'S Mandhana', 'JI Rodrigues', 'H Kaur', 'V Krishnamurthy', 'D Hemalatha', 'DB Sharma', 'A Reddy', 'RP Yadav', 'AA Patil', 'Poonam Yadav']","['BL Mooney', 'EJ Villani', 'A Gardner', 'MM Lanning', 'RL Haynes', 'EA Perry', 'S Molineux', 'DM Kimmince', 'ML Schutt', 'TJ Vlaeminck', 'AJ Healy']",India,bat,GO Brathwaite,WR Knights,S Redfern,S George,RB Richardson,India,Australia,48.0,,,,S Mandhana
2018-11-17,2018/19,Group B,18.0,Ireland,New Zealand,Guyana,Providence Stadium,"['CMA Shillington', 'CNIM Joyce', 'GH Lewis', 'IMHC Joyce', 'L Delany', 'SM Kavanagh', 'EAJ Richardson', 'KJ Garth', 'MV Waldron', 'L Maritz', 'CJ Metcalfe']","['SW Bates', 'SFM Devine', 'AE Satterthwaite', 'KJ Martin', 'ML Green', 'LM Kasperek', 'B Bezuidenhout', 'JM Watkin', 'HM Rowe', 'AC Kerr', 'LMM Tahuhu']",Ireland,bat,S Redfern,S George,L Rusere,CA Polosak,RB Richardson,New Zealand,Ireland,,8.0,,,SFM Devine
2018-11-18,2018/19,Group A,19.0,England,West Indies,St Lucia,"Daren Sammy National Cricket Stadium, Gros Islet","['DN Wyatt', 'TT Beaumont', 'AE Jones', 'NR Sciver', 'HC Knight', 'L Winfield', 'SIR Dunkley', 'A Shrubsole', 'D Hazell', 'S Ecclestone', 'KL Gordon']","['HK Matthews', 'DJS Dottin', 'SR Taylor', 'SA Campbelle', 'NY McLean', 'B Cooper', 'Kycia A Knight', 'CA Henry', 'ASS Fletcher', 'SC Selman', 'SS Connell']",West Indies,field,Nitin Menon,Kim Cotton,Ahsan Raza,Sharfuddoula,GF Labrooy,West Indies,England,,4.0,,,DJS Dottin
2018-11-18,2018/19,Group A,20.0,South Africa,Bangladesh,St Lucia,"Daren Sammy National Cricket Stadium, Gros Islet","['L Lee', 'D van Niekerk', 'M Kapp', 'S Luus', 'M du Preez', 'CL Tryon', 'F Tunnicliffe', 'M Klaas', 'TS Sekhukhune', 'M Daniels', 'Z Mali']","['Sharmin Akhter', 'Ayasha Rahman', 'Fargana Hoque', 'Nigar Sultana', 'Rumana Ahmed', 'Jahanara Alam', 'Salma Khatun', 'Nahida Akter', 'Fahima Khatun', 'Ritu Moni', 'Khadija Tul Kubra']",Bangladesh,field,JM Williams,SJ Nogajski,Nitin Menon,Kim Cotton,GF Labrooy,South Africa,Bangladesh,30.0,,,,M Kapp
2018-11-22,2018/19,Semi Final,,Australia,West Indies,Antigua,"Sir Vivian Richards Stadium, North Sound","['BL Mooney', 'AJ Healy', 'MM Lanning', 'A Gardner', 'EJ Villani', 'RL Haynes', 'EA Perry', 'S Molineux', 'DM Kimmince', 'G Wareham', 'ML Schutt']","['HK Matthews', 'DJS Dottin', 'SR Taylor', 'SA Campbelle', 'NY McLean', 'Kycia A Knight', 'B Cooper', 'CA Henry', 'ASS Fletcher', 'SS Connell', 'SC Selman']",West Indies,field,L Rusere,Nitin Menon,Ahsan Raza,S Redfern,GF Labrooy,Australia,West Indies,71.0,,,,AJ Healy
2018-11-22,2018/19,Semi Final,,India,England,Antigua,"Sir Vivian Richards Stadium, North Sound","['T Bhatia', 'S Mandhana', 'JI Rodrigues', 'H Kaur', 'V Krishnamurthy', 'DB Sharma', 'D Hemalatha', 'AA Patil', 'RP Yadav', 'A Reddy', 'Poonam Yadav']","['DN Wyatt', 'TT Beaumont', 'AE Jones', 'NR Sciver', 'HC Knight', 'L Winfield', 'A Shrubsole', 'SIR Dunkley', 'S Ecclestone', 'D Hazell', 'KL Gordon']",India,bat,CA Polosak,S George,GO Brathwaite,JM Williams,RB Richardson,England,India,,8.0,,,AE Jones
2018-11-24,2018/19,Final,,England,Australia,Antigua,"Sir Vivian Richards Stadium, North Sound","['DN Wyatt', 'TT Beaumont', 'AE Jones', 'NR Sciver', 'HC Knight', 'L Winfield', 'SIR Dunkley', 'A Shrubsole', 'D Hazell', 'S Ecclestone', 'KL Gordon']","['AJ Healy', 'BL Mooney', 'A Gardner', 'MM Lanning', 'EJ Villani', 'RL Haynes', 'EA Perry', 'S Molineux', 'DM Kimmince', 'G Wareham', 'ML Schutt']",England,bat,L Rusere,S George,GO Brathwaite,Nitin Menon,RB Richardson,Australia,England,,8.0,,,A Gardner
2020-02-21,2019/20,Group A,1.0,Australia,India,Sydney,Sydney Showground Stadium,"['AJ Healy', 'BL Mooney', 'MM Lanning', 'RL Haynes', 'A Gardner', 'EA Perry', 'JL Jonassen', 'A Sutherland', 'DM Kimmince', 'M Strano', 'ML Schutt']","['Shafali Verma', 'S Mandhana', 'JI Rodrigues', 'H Kaur', 'DB Sharma', 'V Krishnamurthy', 'S Pandey', 'T Bhatia', 'A Reddy', 'Poonam Yadav', 'RS Gayakwad']",Australia,field,JM Williams,S George,GO Brathwaite,Kim Cotton,BC Broad,India,Australia,17.0,,,,Poonam Yadav
2020-02-22,2019/20,Group B,2.0,Thailand,West Indies,Perth,W.A.C.A. Ground,"['N Chantam', 'N Boochatham', 'N Koncharoenkai', 'N Chaiwai', 'C Sutthiruang', 'S Tippoch', 'O Kamchomphu', 'W Liengprasert', 'R Padunglerd', 'S Laomi', 'S Lateh']","['HK Matthews', 'LAGL Kirby', 'SR Taylor', 'DJS Dottin', 'SA Campbelle', 'CN Nation', 'CA Henry', 'AA Alleyne', 'A Mohammed', 'ASS Fletcher', 'SS Connell']",Thailand,bat,CA Polosak,Nitin Menon,AG Wharf,Lauren Agenbag,GS Lakshmi,West Indies,Thailand,,7.0,,,SR Taylor
2020-02-22,2019/20,Group A,3.0,New Zealand,Sri Lanka,Perth,W.A.C.A. Ground,"['SFM Devine', 'RH Priest', 'SW Bates', 'ML Green', 'KJ Martin', 'KT Perkins', 'AC Kerr', 'HNK Jensen', 'LM Kasperek', 'LMM Tahuhu', 'JM Kerr']","['GWHM Perera', 'AC Jayangani', 'MAA Sanjeewani', 'H Madavi', 'HASD Siriwardene', 'NND de Silva', 'KADA Kanchana', 'WK Dilhari', 'WGAKK Kulasuriya', 'BMSM Kumari', 'KDU Prabodhani']",New Zealand,field,S Redfern,Ahsan Raza,CA Polosak,Nitin Menon,GS Lakshmi,New Zealand,Sri Lanka,,7.0,,,HNK Jensen
2020-02-23,2019/20,Group B,4.0,England,South Africa,Perth,W.A.C.A. Ground,"['AE Jones', 'DN Wyatt', 'NR Sciver', 'HC Knight', 'FC Wilson', 'KH Brunt', 'TT Beaumont', 'L Winfield', 'S Ecclestone', 'A Shrubsole', 'S Glenn']","['L Lee', 'D van Niekerk', 'M Kapp', 'CL Tryon', 'M du Preez', 'S Luus', 'L Wolvaardt', 'T Chetty', 'S Ismail', 'A Khaka', 'N Mlaba']",South Africa,field,CM Brown,L Rusere,Ahsan Raza,Kim Cotton,GS Lakshmi,South Africa,England,,6.0,,,D van Niekerk
2020-02-24,2019/20,Group A,5.0,Australia,Sri Lanka,Perth,W.A.C.A. Ground,"['AJ Healy', 'BL Mooney', 'A Gardner', 'MM Lanning', 'RL Haynes', 'NJ Carey', 'EA Perry', 'JL Jonassen', 'DM Kimmince', 'M Strano', 'ML Schutt']","['GWHM Perera', 'AC Jayangani', 'U Thimashini', 'MAA Sanjeewani', 'NND de Silva', 'KADA Kanchana', 'HASD Siriwardene', 'H Madavi', 'WK Dilhari', 'BMSM Kumari', 'KDU Prabodhani']",Sri Lanka,bat,GO Brathwaite,Kim Cotton,L Rusere,S Redfern,BC Broad,Australia,Sri Lanka,,5.0,,,RL Haynes
